user-369151334837599634060797433666,2691
user-4986052746694097,3193
user-16214450339785681,9266
host-3554067107,5399
user-11145693531745750,3630
host-3554038338,6439
user-1054069292347353,9039
user-1054069443405523,8818
user-1054069375969238,9864
user-18454579428135,7573
host-3554038398,11
user-2074939686432526445,6535
user-17668143968327102396933,852
user-18454445079087,1612
host-3554024299,9091
user-1468584345038248636918780209,2309
host-2439688066,5937
user-330287298,6848
host-3554037118,622
user-16218891318996951,9533
user-3132766892170699893107,247
host-3554036587,95
host-3554036973,882
user-345068292594383808525,6940
user-1054069292477904,7326
user-18454696868902,9172
user-18454797334319,7823
host-3554053670,5866
user-418066290050150241919,9678
user-1054069442947024,8656
host-3554080465,9432
host-3554052252,3547
user-18454696671014,2837
host-3554022605,5839
host-3554037872,5113
user-1054056423829463,9985
host-3554066795,1290
user-18454696541484,1921
user-18453924853290,2794
user-1054069275109589,8153
user-18454831020330,8603
host-3554018119,6628
host-3554054147,1412
host-3554053898,2637
user-23771780943759191935842522,9923
host-3554052873,5175
user-1054069375905751,7463
host-3554078551,9634
user-1054069460184022,8268
host-3554037739,4156
user-10026084208356565,9749
user-1055160196868305,3294
user-18454897800742,7460
user-18454831152680,2122
host-3554064719,630
host-3554061165,5216
user-1054069375774162,8926
host-3554037221,1357
user-18454696540971,8838
host-3554059304,1821
user-1054069342416594,7271
host-3554065079,9115
user-83653380100020702481157,237
user-18454462052908,2676
user-8349518476890532,2047
user-18454696738350,3096
host-3554057952,3590
host-3554067172,2729
host-3554037502,7347
user-18454461986862,1286
user-18454713907750,3805
user-18454713907757,2301
user-1054069359127761,9720
user-1054069342677971,4793
user-24944629039916,5090
user-1325834205736659,4975
host-3554052874,1753
host-3554017983,780
user-18453908602406,2111
user-1054069308665305,5590
user-1054069275110613,9994
user-1054056390274515,8077
host-3554051134,521
user-18454831414058,4817
host-3554064837,2599
user-1054069443012822,10068
user-1054069393141715,8861
user-18454780426793,3206
user-18454780493356,1820
user-1054069376232150,4894
host-3554024068,7831
host-3554038359,6445
host-3554031712,3226
user-18454898129708,5308
user-141505881968345234259,5202
host-3554037980,1954
user-1276429502933618798,7154
user-344208395212069018989,6906
user-1054069292019158,8188
host-3554051103,5975
user-1054069325506768,9683
user-18454445145128,891
user-1054056390469844,8558
user-1054069342678482,7045
